,Last Date of Month,Log-nominal USD to CAN,Log-nominal USD to JPN,Log-nominal USD to SWE,Log-nominal USD to CHE,Log-nominal USD to GBR,Log-nominal USD to BEL,Log-nominal USD to FRA,Log-nominal USD to DEU,Log-nominal USD to ITA,Log-nominal USD to NLD,Nominal Diff USD to CAN,Nominal Diff USD to JPN,Nominal Diff USD to SWE,Nominal Diff USD to CHE,Nominal Diff USD to GBR,Nominal Diff USD to BEL,Nominal Diff USD to FRA,Nominal Diff USD to DEU,Nominal Diff USD to ITA,Nominal Diff USD to NLD,Real Chg to 12-M Avg USD to CAN,Real Chg to 12-M Avg USD to JPN,Real Chg to 12-M Avg USD to SWE,Real Chg to 12-M Avg USD to CHE,Real Chg to 12-M Avg USD to GBR,Real Chg to 12-M Avg USD to BEL,Real Chg to 12-M Avg USD to FRA,Real Chg to 12-M Avg USD to DEU,Real Chg to 12-M Avg USD to ITA,Real Chg to 12-M Avg USD to NLD,USA INFL,CAN INFL,JPN INFL,SWE INFL,CHE INFL,GBR INFL,BEL INFL,FRA INFL,DEU INFL,ITA INFL,NLD INFL,USA IR,CAN IR,JPN IR,SWE IR,CHE IR,GBR IR,BEL IR,FRA IR,DEU IR,ITA IR,NLD IR
20,1992-03-31,-0.17630348446839167,-4.889316264174213,-1.7961332237370853,-0.411712220868631,0.5445311562311619,-3.5319332036512097,-1.7298840655099674,-0.5077809935797655,-7.129521882739021,-0.6262592350183136,-0.008672643084440601,-0.03964111511173929,-0.025188894222950342,-0.035950592133909276,-0.030845488594275716,-0.026075551445621237,-0.02353725190784517,-0.02621941550030099,-0.026265611850814885,-0.02643421168974114,-0.10143071755089253,0.2333429540851677,0.16228752195223128,-0.40375127833559066,-0.027366812925423922,-0.3661578685870466,-0.17298055234214704,-0.2879370480911706,-0.2867849698322704,0.21832386346121946,0.5050505,0.360144,0.5,0.4685466,0.2921267,0.4,0.02197078,0.3251343,0.4115226,0.4541326,0.7611798,4.25,7.54,4.406,11.7,8.3438,10.67045,9.63,10.1195,9.7,12.3,9.61
21,1992-04-30,-0.171766042854438,-4.894397314226218,-1.7861940107551735,-0.41831552008698425,0.56338012250088,-3.5242995787961386,-1.7187047883221442,-0.5003509554719695,-7.124115877999515,-0.6188545759780902,0.004537441613953669,-0.005081050052004876,0.009939212981911805,-0.006603299218353231,0.018848966269718104,0.0076336248550710195,0.011179277187823189,0.0074300381077959665,0.005406004739506365,0.00740465904022336,0.1531498800478222,0.7767179282614176,0.1734741172469576,-0.05204816352353864,0.6956031479817201,0.1490810394215072,0.08348780082260077,0.14167438690509682,0.09525093254273198,0.028190135463568577,0.143575,0.1196172,1.1,0.2288626,0.1594715,1.2,0.1098298,0.2113569,0.4098361,0.3616636,0.3777148,4.0,7.118,3.646,11.85,8.6406,10.65483,9.56,10.0409,9.75,12.41,9.5
22,1992-05-31,-0.18157127540325052,-4.873447701903014,-1.765791877530473,-0.3992458082942475,0.5930505640216601,-3.508256453955563,-1.6964959550015417,-0.48396816959610806,-7.1073845232312785,-0.6025658023287068,-0.00980523254881252,0.02094961232320447,0.020402133224700414,0.019069711792736754,0.029670441520780133,0.016043124840575462,0.022208833320602528,0.01638278587586145,0.016731354768236173,0.016288773649383415,0.03533382550544281,-0.3337649084685328,-0.04897098685622914,0.15630487478904015,0.013358983103759492,0.3386097981787404,0.17592901460967636,0.04164726995317286,0.16195353809199275,-0.24567509788700315,0.1433692,0.1194743,0.1,0.06893283,0.2635448,0.6,0.3730115,0.3233971,0.2721089,0.4504505,0.0,3.82,6.6175,3.646,11.66,8.9112,10.109,9.57,9.9674,9.79,12.41,9.52
23,1992-06-30,-0.17898265552843995,-4.84289097127353,-1.736810377743039,-0.3541718137206139,0.6179386029621904,-3.4769230921902907,-1.6665741038049096,-0.45273030057527863,-7.081305143388968,-0.5720524171818866,0.0025886198748105715,0.03055673062948383,0.02898149978743403,0.04507399457363359,0.024888038940530266,0.03133336176527246,0.029921851196632154,0.031237869020829423,0.02607937984231068,0.030513385146820227,-0.06508929759973056,-0.5822707754726082,-0.3883152990668104,0.01730413364666794,-0.6498096268660529,-0.06635261720962671,-0.33123340142871105,-0.16307369202749333,-0.21132759518238142,-0.4312382853523252,0.3579098,0.2386635,-0.1,-0.2583201,0.3972932,0.1,0.3169745,-0.05606167,0.2713704,0.2690583,-0.2822201,3.86,6.0325,3.646,11.59,9.2173,10.05078,9.58,10.1126,9.75,13.46,9.52
24,1992-07-31,-0.17596808282177925,-4.8353425770303415,-1.6879533005024658,-0.28870654749796876,0.6511265512973329,-3.4249139082794713,-1.615837392014668,-0.3997152761275574,-7.029822457910905,-0.5199241067512501,0.0030145727066606953,0.007548394243188206,0.0488570772405732,0.06546526622264515,0.03318794833514249,0.052009183910819434,0.05073671179024153,0.053015024447721215,0.051482685478062784,0.05212831043063648,0.06666312176271058,-0.4936758269613808,0.043470974756193215,-0.33778009099369216,-0.37847235479639485,0.14463890986230332,-0.0582691317409616,0.06945987263875725,-0.05312108306718777,0.4150087020026978,0.21398,0.2380952,-0.8,-0.1294945,-0.3009129,-0.3,0.457616,-0.05609312,0.270636,0.1788909,0.3773585,3.37,5.574,3.646,11.92,8.7826,10.20245,9.62,10.2229,9.78,15.64,9.58
25,1992-08-31,-0.1745413694749924,-4.838113561780448,-1.6628838881397263,-0.25974545375875824,0.6644390164232017,-3.3951793093365925,-1.5916608323314194,-0.3698379304650133,-7.003065458786462,-0.4899287980530055,0.0014267133467868454,-0.0027709847501062868,0.025069412362739518,0.02896109373921052,0.013312465125868811,0.029734598942878776,0.02417655968324861,0.02987734566254413,0.026756999124443404,0.029995308698244627,-0.1561319668665886,0.501500408247658,0.20920396732201696,0.18419325123368874,0.15410255952896001,-0.32866563940114135,0.033830073718913,-0.14224729474239683,0.06508549457564872,0.1318050426090419,0.2846975,0.0,0.3,0.0691533,0.2615389,0.1,-0.1626898,-0.0561246,0.0,0.2678571,0.1879699,3.31,5.1725,3.141,13.26,8.1935,10.4122,9.75,10.3892,9.88,15.43,9.82
26,1992-09-30,-0.20089794236689,-4.808900106337237,-1.6805485398920532,-0.24529635595534308,0.6132919553104809,-3.3985271531062766,-1.5969198878751278,-0.3725286078618995,-7.070052683945164,-0.4915204727079852,-0.02635657289189758,0.029213455443210634,-0.0176646517523269,0.014449097803415162,-0.051147061112720826,-0.0033478437696841112,-0.005259055543708424,-0.0026906773968862208,-0.06698722515870248,-0.0015916746549797245,-0.1194942441456695,0.4955182753787719,0.9640167362860288,0.08792499644868024,0.2139724143001423,0.0022162704678367895,0.20611208953194393,-0.10508036971040946,-0.08895925039765373,0.36031261979609513,0.2838893,0.0,0.5,1.455535,0.1178214,0.3,0.1738186,0.2807806,0.0,0.1780944,0.8442777,3.13,5.038,3.141,20.18,7.2273,10.03729,9.55,11.0405,9.5,18.22,9.35
27,1992-10-31,-0.21937646474496578,-4.797154903693001,-1.7228737348588605,-0.2758118998812936,0.5025313209411706,-3.420346200500916,-1.6168106667635134,-0.3954821100547625,-7.177507569267935,-0.513841072726448,-0.01847852237807579,0.011745202644235953,-0.04232519496680731,-0.030515543925950545,-0.11076063436931027,-0.02181904739463958,-0.01989077888838553,-0.022953502192863018,-0.10745488532277125,-0.022320600018462755,0.011696260783983559,-0.22880777975610567,-0.4638343138953136,-0.09154283001616204,-0.07059850995044703,0.07885015381367877,0.05038832889317346,-0.0625749605942042,0.007304368065252476,-0.40586922489730165,0.353857,0.1187648,0.1,0.1873138,0.1452205,0.3,0.2168962,0.2799944,0.0,0.4444444,0.0,3.26,7.6375,3.141,14.39,6.2983,8.39347,8.7,11.1165,8.94,15.58,8.74
28,1992-11-30,-0.2369675579072796,-4.819313355105002,-1.8330293634262718,-0.35704487550561204,0.42317404188893765,-3.4861510875423187,-1.680939634122811,-0.4621604517847096,-7.2185066960178625,-0.5800904582676486,-0.01759109316231383,-0.022158451412000346,-0.11015562856741123,-0.08123297562431842,-0.07935727905223294,-0.06580488704140253,-0.06412896735929774,-0.06667834172994708,-0.04099912674992723,-0.06624938554120063,0.3774083970990988,-0.22563760005992162,-0.8452113840338766,0.6078480349418043,-0.104605430824592,0.14638429284085142,-0.052605324535660136,0.3363551047824142,0.3198653870591244,-0.1524638837002879,0.1410437,0.4744959,-0.2,-0.4929039,0.9619543,0.1,0.3138188,0.09772442,0.4048583,0.7079646,0.09302326,3.58,6.9325,3.141,12.45,6.506,7.26711,8.72,9.7556,8.94,14.5,8.78
29,1992-12-31,-0.24098346944254073,-4.8206113499298855,-1.9301146254419657,-0.35199400542019166,0.4388998841944018,-3.482470101790892,-1.6859173561393188,-0.45881628360515897,-7.2530315036594395,-0.5759389796544043,-0.004015911535261124,-0.001297994824883908,-0.0970852620156939,0.005050870085420378,0.015725842305464144,0.003680985751426835,-0.004977722016507702,0.003344168179550633,-0.03452480764157695,0.004151478613244275,0.005620721255721217,0.23699711297941128,0.4685497758004,-0.2525512184844926,0.12928006185289848,0.008337628153817445,0.024122176202562295,0.14657155820971796,-0.03315705401102775,-0.08623943610490381,-0.07042254,0.0,0.0,0.3843198,-0.1075467,0.1,-0.01078749,-0.05578801,0.1344086,0.2636204,-0.3717472,3.48,7.9,3.141,10.58,6.1875,7.23132,8.71,11.341,9.04,13.85,8.66
