,Last Date of Month,Returns_JPN,Returns_SWE,Returns_CHE,Returns_GBR,Returns_BEL,Returns_FRA,Returns_DEU,Returns_ITA,Returns_NLD,Portfolio_Returns
18,2014-01-31,-4.048969818115235,-1.7802739749908447,-0.023428231126623154,0.4084602956707001,-0.16424784430980682,-0.205201063246727,-0.3388074226093292,-0.27523024746894836,-0.2990830726337433,-0.7474201532033953
19,2014-02-28,-3.872037727661133,-1.7211784896850586,-0.01954004920176506,0.47215710080833434,-0.17439505627727508,-0.1973152028617859,-0.28875060549354553,-0.4009662734565735,-0.22649879923439026,-0.7142805670070215
20,2014-03-31,-3.999493303222656,-1.7594488273620605,-0.026390540236234664,0.544581039768982,-0.2633326757698059,-0.21661857850837707,-0.24212581999588012,-0.41958550699043273,-0.20082935281085967,-0.7314715072363694
21,2014-04-30,-3.9936305903625486,-1.747095576095581,-0.0312841505066967,0.4691320628604889,-0.2418520493478775,-0.24556552302551268,-0.2899017823905945,-0.4121743930549622,-0.22235946786117552,-0.7460812744204955
22,2014-05-31,-3.865161968231201,-1.6749867610931397,0.001400249724740982,0.35674373445091245,-0.31868457231140135,-0.1980351749382019,-0.3219588342628479,-0.5234950128517151,-0.20463275346374513,-0.749867899219622
23,2014-06-30,-3.8928442726135253,-1.7011832544326781,0.036913144999742506,0.39560016685066224,-0.29334892403030394,-0.24658198725128175,-0.4540974951877594,-0.43779538642311094,-0.24136063527011872,-0.7594109603731527
24,2014-07-31,-3.955120192337036,-1.709165595817566,0.025642787533998488,0.4394488497528076,-0.24898854863643646,-0.24137517285346985,-0.475009078502655,-0.2882174797058105,-0.28040971827507016,-0.7481326832045821
25,2014-08-31,-4.077628002929687,-1.713794320487976,-0.019371772688627244,0.4709924055534363,-0.17949421793556214,-0.22782579154109955,-0.383499220911026,-0.25028406173324586,-0.35672699004745484,-0.7486257747468047
26,2014-09-30,-4.04668685760498,-1.7328335077285766,-0.038805017751455305,0.4539453704723358,-0.17246766492938995,-0.1867601583919525,-0.3102147291622162,-0.26071679696655276,-0.34508580073928835,-0.7377361292002307
27,2014-10-31,-4.018963312835694,-1.7392170097351074,-0.02806032854914665,0.4468500254119873,-0.199834380818367,-0.19166079588031767,-0.3619151902923584,-0.3478742731342316,-0.2972312165031433,-0.7486562758151531
28,2014-11-30,-3.979436883468628,-1.677951587867737,-0.07891644570827484,0.5038393189689636,-0.15890844982528687,-0.19646617096328736,-0.31533380669021605,-0.1702100716199875,-0.3195742003288269,-0.7103286997225866
29,2014-12-31,-4.04168757156372,-1.6890923086166383,-0.10006340389251708,0.5483873939353943,-0.13179953061008454,-0.192718264087677,-0.27615004442596436,-0.17326905988121033,-0.3653354015197754,-0.7135253545180215
30,2015-01-31,-4.074922385101319,-1.6805909509658814,-0.12613174619674683,0.48176776935958865,-0.12307980768871307,-0.18410395198059082,-0.2737021308441162,-0.20083840303611755,-0.3680268388290405,-0.7277364939203262
31,2015-02-28,-3.8135730752563477,-1.6045849760055542,-0.06960109853744506,0.5497691870605469,-0.1589292314119339,-0.164025443441391,-0.2413252618379593,-0.3256344076461792,-0.24771888817024232,-0.6750692439162784
32,2015-03-31,-4.059179375457764,-1.706738886833191,-0.09102409937381745,0.5615509275306702,-0.1909479528875351,-0.20874850752067567,-0.23477833273124696,-0.28084995152664183,-0.23191842736911775,-0.7158482895743687
33,2015-04-30,-4.158591680908203,-1.7605389867782593,-0.03569198123812675,0.5152404389190673,-0.16800897707653045,-0.17479679872703552,-0.22560262074184417,-0.2965397029132843,-0.2164439051361084,-0.7245526905111472
34,2015-05-31,-4.168655614318848,-1.7489253099441529,-0.060628843188285826,0.43301243141670226,-0.21095538708782197,-0.1748973337135315,-0.26520382437324524,-0.1924662795982361,-0.2457087543926239,-0.7371587683555603
35,2015-06-30,-4.3086382452392575,-1.8044881772994996,0.0220139575779438,0.423111286517334,-0.22179807592487336,-0.2257417874441147,-0.3273797022209167,-0.20729593802547455,-0.24219417441940308,-0.7658234284975846
36,2015-07-31,-4.337474631347656,-1.7680621536254884,0.06245776694417,0.4846070664516449,-0.2330579280977249,-0.24119659961509704,-0.3151477545623779,-0.16551802755641937,-0.24609005154418945,-0.7510535903281265
37,2015-08-31,-4.53066901763916,-1.776163103866577,0.004482042437791824,0.5195287963943481,-0.17315651175785066,-0.2397290438156128,-0.282152798746109,-0.15513567325878144,-0.3224531978111267,-0.7728276120070086
38,2015-09-30,-4.448229730834961,-1.7798395681381225,-0.006078532403173447,0.5369966186737061,-0.14708214681625367,-0.2119532791900635,-0.21687413435459138,-0.1327906517314911,-0.3412780134010315,-0.7496810486884424
39,2015-10-31,-4.394066480102539,-1.7562651163101197,0.004896357709169387,0.5015035343688965,-0.159247256649971,-0.20912729932212828,-0.2720249815120697,-0.22945909930610656,-0.30886035396003725,-0.7580722994538784
